benchmark,shape,method,thread,parameter,time(s),speedup
resize,"(256, 128, 1, 100)",triton,4,"(32,)",0.155304,2.8522
resize,"(256, 128, 1, 100)",triton,8,"(4,)",0.0675333,6.5591
resize,"(256, 128, 1, 100)",triton,8,"(8,)",0.0752339,5.8877
resize,"(256, 128, 1, 100)",triton,8,"(16,)",0.0761035,5.8204
resize,"(256, 128, 1, 100)",triton,8,"(32,)",0.081961,5.4045
resize,"(256, 256, 1, 100)",triton,1,"(4,)",0.948918,0.9273
resize,"(256, 256, 1, 100)",triton,1,"(8,)",1.08125,0.8138
resize,"(256, 256, 1, 100)",triton,1,"(16,)",1.09714,0.802
resize,"(256, 256, 1, 100)",triton,1,"(32,)",1.18698,0.7413
resize,"(256, 256, 1, 100)",triton,4,"(4,)",0.245649,3.5822
resize,"(256, 256, 1, 100)",triton,4,"(8,)",0.276873,3.1782
resize,"(256, 256, 1, 100)",triton,4,"(16,)",0.280577,3.1362
resize,"(256, 256, 1, 100)",triton,4,"(32,)",0.303027,2.9039
resize,"(256, 256, 1, 100)",triton,8,"(4,)",0.126783,6.9407
resize,"(256, 256, 1, 100)",triton,8,"(8,)",0.143469,6.1334
resize,"(256, 256, 1, 100)",triton,8,"(16,)",0.145337,6.0546
resize,"(256, 256, 1, 100)",triton,8,"(32,)",0.15633,5.6288
resize,"(32, 32, 1, 100)",clang,1,,0.0179328,1.0
resize,"(32, 32, 1, 100)",clang,4,,0.00905805,1.9798
resize,"(32, 32, 1, 100)",clang,8,,0.00789912,2.2702
resize,"(32, 32, 1, 100)",triton_tuned,1,"(4,)",0.0191174,0.938
resize,"(32, 32, 1, 100)",triton_tuned,4,"(4,)",0.00903717,1.9843
resize,"(32, 32, 1, 100)",triton_tuned,8,"(4,)",0.00821224,2.1837
resize,"(32, 64, 1, 100)",clang,1,,0.0319699,1.0
resize,"(32, 64, 1, 100)",clang,4,,0.0122671,2.6061
resize,"(32, 64, 1, 100)",clang,8,,0.00977002,3.2722
resize,"(32, 64, 1, 100)",triton_tuned,1,"(4,)",0.0337282,0.9479
resize,"(32, 64, 1, 100)",triton_tuned,4,"(4,)",0.013307,2.4025
resize,"(32, 64, 1, 100)",triton_tuned,8,"(4,)",0.0103914,3.0766
resize,"(32, 128, 1, 100)",clang,1,,0.0593388,1.0
resize,"(32, 128, 1, 100)",clang,4,,0.0190119,3.1211
resize,"(32, 128, 1, 100)",clang,8,,0.0132806,4.4681
resize,"(32, 128, 1, 100)",triton_tuned,1,"(4,)",0.0631969,0.939
resize,"(32, 128, 1, 100)",triton_tuned,4,"(4,)",0.0202618,2.9286
resize,"(32, 128, 1, 100)",triton_tuned,8,"(4,)",0.0137647,4.3109
resize,"(32, 256, 1, 100)",clang,1,,0.113902,1.0
resize,"(32, 256, 1, 100)",clang,4,,0.033034,3.448
resize,"(32, 256, 1, 100)",clang,8,,0.0204267,5.5761
resize,"(32, 256, 1, 100)",triton_tuned,1,"(4,)",0.122341,0.931
resize,"(32, 256, 1, 100)",triton_tuned,4,"(4,)",0.0353363,3.2234
resize,"(32, 256, 1, 100)",triton_tuned,8,"(4,)",0.0213988,5.3228
resize,"(64, 32, 1, 100)",clang,1,,0.0321753,1.0
resize,"(64, 32, 1, 100)",clang,4,,0.012231,2.6306
resize,"(64, 32, 1, 100)",clang,8,,0.00983327,3.2721
resize,"(64, 32, 1, 100)",triton_tuned,1,"(4,)",0.0339501,0.9477
resize,"(64, 32, 1, 100)",triton_tuned,4,"(4,)",0.0130822,2.4595
resize,"(64, 32, 1, 100)",triton_tuned,8,"(4,)",0.0100723,3.1944
resize,"(64, 64, 1, 100)",clang,1,,0.0596107,1.0
resize,"(64, 64, 1, 100)",clang,4,,0.0192538,3.096
resize,"(64, 64, 1, 100)",clang,8,,0.0131924,4.5186
resize,"(64, 64, 1, 100)",triton_tuned,1,"(4,)",0.063379,0.9405
resize,"(64, 64, 1, 100)",triton_tuned,4,"(4,)",0.0207119,2.8781
resize,"(64, 64, 1, 100)",triton_tuned,8,"(4,)",0.0139103,4.2854
resize,"(64, 128, 1, 100)",clang,1,,0.114407,1.0
resize,"(64, 128, 1, 100)",clang,4,,0.0328242,3.4854
resize,"(64, 128, 1, 100)",clang,8,,0.0202866,5.6395
