benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 8)",0.0135153,0.9771
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 16)",0.0128292,1.0293
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 32)",0.0231175,0.5712
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 4)",0.013001,1.0157
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 8)",0.0128563,1.0272
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 16)",0.0147945,0.8926
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 32)",0.0132237,0.9986
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 4)",0.0131846,1.0016
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 8)",0.0136489,0.9675
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 16)",0.012618,1.0466
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 32)",0.0132388,0.9975
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 4)",0.0147717,0.894
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 8)",0.0143837,0.9181
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 16)",0.0138629,0.9526
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 32)",0.0137321,0.9617
